"Reviews","Ratings"
"
This is an honest review and comparison of the new 4th Generation Echo (not Dot) vs. the 2nd Generation Echo Plus (the last Echo Plus that was launched with the 3td Generation Echo).I actually purchased two 4th Gen Echoes to create a Home Theater Group with the FireTV Stick 4k latest variant. I'll include notes about that as well.Sound Quality Pros: I really enjoy music from different genres and I like to tinker with equalizer settings so that I get the fullest sound out of even a cheap speaker. I also like when a speaker(s) can pull double duty as a surround sound system for my television as well. That's what attracted me to the new Echoes.Regarding music streaming from Amazon Music HD, I must say the sound is really smooth and crisp. I adjusted the equalizer settings for the individual devices in the Alexa app to boost the mid most, followed closely by the treble and a moderate bass setting (if they are paired in a stereo pair or Home Theater, adjusting one device automatically adjusts the other). I have my Echoes placed about 12 feet away in front of  my primary seating spot on the sofa and the are spaced about 8 feet apart flanking the television. They are situated about 4 feet off the ground on book shelves.  This positioning has been perfect for the accoustics in my 15x18 living room with tall ceilings. The speakers really fill up the space. And I am most impressed with how the sound bounces off of the walls and truly feel as if it surrounds me and immerses my eardrums into it.This holds even more true for when I watch a movie with the Dolby Atmos setting on. I can hear the channels fairly well and it really seems like I own my own private movie theater in my living room. There's been times that there's a sound affect so specific to one channel and reproduced so clearly that I've actually muted the show thinking that I was hearing some noise from outside or in the hallway of my apartment building.These two devices together get pretty loud without any noticeable distortion. Now I haven't played much bass heavy music but I do love action and sci-fi movies that are sound effect laden and peppered with bass booming explosions etc. The new 4th Gen Echoes keep up very nicely.In contrast, though I thought I really loved the Echo Plus 2nd Gen, I now find that I really can't enjoy music or movies as much on it. I think that this is because the main speaker fires downward and the rest of the sound is omni directional. This sounds good on paper but in practice, at least for my uses, that type of speaker just seems muffled and really a waste of sound waves. Let me explain. How often to you place the Echo device in the center of a room to benefit from an omni-directional speaker? Most people don't have floor outlets under their coffee tables so it sits on an end table or bookshelf. It's usual home in a bedroom is on the end table. Even in a kitchen, unless placed on the island, the Echo rests with it's back to a wall. So, why then, would you want (let's say) 40% of the sound waves to be directed to a big slab with no ears to appreciate it?The directional sound setup of the new Echo 4th Gen is ideal, really, for it's positioning in most homes. Sound is really diminished if you are behind it or immediately to it's side but comes barrelling at your ear drums when you are any angle in front of it. It's louder, more clear, and much more advanced when it comes to being able to utilize Dolby Atmos playback. I definitely choose the 4th gen over the 2nd Gen Plus any day. I almost feel bad for unloading the Plus onto my parents when I bought the 4th Gen. I'll upgrade them this Christmas. Lol.The omni-directional speaker would be a benefit if it were placed in the center of a patio for a gathering or party, but again, where's your outlets? Not in the middle of the concrete or deck floor. So chances are, even on the patio, it will be placed backing up to an exterior wall. So the myth of the omni-directional speaker advantage is busted in my book.Voice Recognition:At first, I felt there was a noticeable difference with the Plus having the upper hand when I comes to summoning Alexa. However, I believe there have been some fairly large software updates recently that included fine tuning adjustments to the mics on the 4th Gen devices. They now clearly pick up my questions or commands from across the room and quickly cancel out the other Echo Dot I have on the far side open floor plan nearest the kitchen. Before, with the Plus, it was a toss up as to which one would respond because I firmly believe the best mics are still on the Echo Dot 3rd Gen with clock variant. Hands down. If only the echo show 5 in my bedroom would be even half as good, I'd be happy ( that unit is by far the worst with just 2 lack luster mics vs the 4 on the Dot and Plus).Alexa is also quicker to respond on the 4th Gen too. Now that's a combination of the 450-ish gbps internet speed I am fortunate enough to have but I understand it's also due to a better processor and improved software.And let me just say one thing... I don't know anyone who buys their smart home devices with  Zigbee compatibility being the #1 consideration.  Who cares? I have bought the best reviewed for the price smart bulbs, TV, and plugs etc not giving a thought to Zigbee because the latest generation smart devices don't require a hub.All of my smart home devices work just fine by enabling the skill on the Alexa app with that of the manufacturer's chosen app and linking the accounts. The biggest issue I have is trying to remember what I named each lamp and group to turn on and off the lights. First world problems, I know.For what it's worth, the big 3 smart home apps which seems to be used by these el cheapo devices are Kasa, Govee, and Smart Life. I have devices on all three and the Alexa integration is seemless. Except the darn ceiling fan speed control. Still haven't completely figured that one out entirely.Setting up the devices and Grouping:Both the Echo Plus and 4th Gens are very easy to set up initially. The Alexa app, though not entirely user friendly regarding the UI, does all the work and guides you through the process fairly quickly. The oddball thing that's a bit more challenging is knowing what the difference is between a stereo pair, a home theater and a speaker group.First, a stereo pair must be two identical models (I believe an Echo Sub woofer can be added as the one off) and the pairing is only for music streaming. Only one Echo will respond at a time when you are conversationally interacting with Alexa.In a Home Theater grouping, one or more Echo devices of the same model can be joined with a FireTV device such as the Stick 4k. A sub can also be added. The crummy part at first, is that you can't include your existing sound bar into this Home Theater Group. Amazon devices only, folks. So you must choose which you want to listen to.Now, I'm not horribly disappointed because the sound quality of the two 4th Gens on each side of the TV is really great so the sound bar isn't needed but I hate the thought of the wasted money sitting 32 inches wide in front of me producing no sound at all.IF, you have a smart TV like a Vizio, there is a way to activate the sound bar and have the Amazon Home Theater working at the same time. And here it is: the sound bar must be hooked up to an optical cable and the audio setting on the TV must be set to PCM not automatic. Auto defaults to whatever device you are streaming on ie a FireTV Stick. Then, while playing your FireTV Stick, choose the Home Theater as your audio source on the Fire TV menu. So in essence, the TV thinks it must send sound to the sound bar only while the Stick thinks it should be using the Home Theater. Through whatever glitch, I now have all three speakers working in tandem. BUT ONLY while using the FireTV device. It does not work if I am using the smart TV streaming apps from the Vizio home screen. Which I don't do anymore except for a couple things that are not found on the Amazon App store.FYI, I don't believe that the Fire Edition Insignia and Toshiba televisions sold here and at Best Buy  have the capability to set up the Home Theater function with the Alexa app.Finally, a speaker group is the best way to get unlike models to sync with each other to play music. However, there's a catch... You must ask for that group's every time at the end of your request to play music etc.Meaning, with the stereo pair and home theater, music and movies are automatically played through those selected speakers by means of the Alexa app. You would simply make the standard request for Alexa to play a song or album with no extra added specification. But remember, you're limited to only pairing the same models together for this to work like that.Now, with a speaker group, you can include your Echoes, Dots, Shows, Spots, Inputs, FireTVs, Tablets etc etc into that group and have them all going at the same time through out your home, so long as you name this all-Echo inclusive group something like ""Every where"" or ""all speakers"" or ""whole house"". Be creative :) ""Echo Symphonic Orchestra"", ""Live from the Love Shack"", or ""on all decks of the Enterprise"" (you can even call your individual room groupings for lights and sounds things like "" the Bridge"" -Living Room, ""Ship's Galley"" -Kitchen, ""Ten Forward"" - dining or rec room, ""Shuttle Bay Two""-garage, "" Engineering""-utility room/basement, and ""Captain's Quarters""-master bedroom, ""Risa"" -backyard patio). Lol. Alexa groups can be named whatever you want! I digress though....The point is you have to tell Alexa to play music AND include the name of the speaker group everytime or else music will just play from the device you speak into. Ex: ""Alexa play the song Starships on all decks of the Enterprise"" or (boring) ""Alexa, play Mr. Robot-o, everywhere"" or ""Play a lullaby in the dirty diaper factory (nursry)"". Get it?! I can sense your mind is starting to ignite like a solid rocket booster, now.I really hope this helps someone. I know it's been a learning curve for me. And not always a lot of fun. Just wait til you first start exploring how to build your own custom routines or then decide to relocate devices into different rooms as you upgrade with new ones. It can be a labor of love...or regret.Bottom line, if you  are looking to upgrade but aren't entirely sure, try out the new Echo 4th Gen (especially in a pair for a Home Theater) and decide within 30 days if you really like them. Definitely explore the Alexa app and routines. And commit to replacing at least one bulb in each room with a color changing LED smart bulb to experience the fun you can have with this device. Also, I think you will be pleasantly surprised at what many people say is a drawback about being a directional speaker is really a benefit for most user's needs, including yours.Some people will find fault in anything and some will find that they can't have everything to their exact liking. There's not a perfect smart speaker out there, so figure out what you must have features are, your nice to haves, and your deal breakers are and make the choice.Regardless, enjoy these little glimpses of the future. Heck, they're even spherical shaped just like what the future devices and ships looked like in 2001: A Space Odyssey and Space Balls or a Borg scout ship, even. You gotta think that's at least a nice nod for sci-fi fans everywhere. Or if you are a devotee of mod design or simply a believer in form following function, then this ball of joy is sure to please. So, enjoy your new Echo; It's outta this world!-Picard, out. Hailing frequencies closed.
","Positive"
"
I have my apartment which is not a small apartment and it has a loft as well for my 12-year-old son so he has his own area he’s getting to that age so anyway I had I think 5 echo dots and one echo show that had the visual screen for pictures and things like that but without a subwoofer or anything I was fine with the multi room music and I used it for that and basically also used it so I could just tell any of my echo dots or just basically when I open the door I would say Alexa Turn on my apartment!! Immediately all of my lights would come on and some of them are dimmed to a certain level which you can do in the settings on your Alexa app that most people have on their phones. I even have a couple lightbulbs that are multicolored so I have them set to green and red currently for Christmas!! So the lights all come on when I tell Alexa to do that including my living room TV as well. You can add numerous other items that are compatible with Alexa and/or SmartThings app and you name it. If you don’t have something that is compatible or doesn’t have Bluetooth or wifi etc… as long as you use a plugin for that item you can at MINIMUM turn it off and on with your voice or touch screen on your phone or Alexa show and I bought 2 of these Echoes because my friends have one or more and it is a sphere. So even though it’s twice as big as the echo dot, in the newer generations at least, they started out looking like a hockey puck which is still good and people have them still but I started using Alexa products just a couple years ago so, mine are all round balls that you can talk to and play music and control lights and cameras for security while home or check on your home while you’re not there!!I bought 2 regular Echoes to replace 2 of the echo dots because they have 3 or 4 different speakers in each one!!! Crazy how much sound you get from the dot but the bigger one the regular echo, sounds like a huge floor speaker but it’s just a ball and you can get black or white or blue and more so I got 2 of them to pair together for stereo sound and to my Samsung TV that has an Alexa app built into it. So I can rock out or get surround sound when paired with my TV and Soundbar Sub woofer which I don’t use the soundbar anymore the echoes sounded better but I got them last month. They were 49.99 a piece!!! That’s like half price and why I hadn’t bought them before so for 100 bucks I have a completely wonderful set of speakers that you barely notice and they sound wonderful and you can buy them with a Studio speaker by Amazon or an Amazon Subwoofer bundled for even more awesome sound but I live in an apartment so I don’t want to get kicked out!!! They act as a hub for all of your Amazon devices also so you don’t need anything else but one echo honestly to run all of your lights just get the type of bulbs they suggest and they have bundles for those also and it’s truly amazing what quality of sound and other things that they can do but I have already typed far toooooo much. Start with 1 even for listening to music over the holidays and add devices as you go. That’s what I did and 2 years later I have it set up so we’ll that I can talk to my son when he’s at his Moms house on his echo and my echo here and there’s no need for buying him a cellphone!! Yet!!There’s just so much I could say about what these things do for 50 bucks to get one of them is a steal because you’re just keep adding things and finding different things like grocery list reminders and alarms. It helps you with many things you wouldn’t even imagine.So now, when I open my door to my apartment, I have it set to where the lights automatically come on with my TV. I don’t even have to talk. It’ll do that too so kudos to the designers of these things because they are very affordable and do so much.!!!
","Positive"
"
A friend of mine recently gave me an echo. 2nd Gen. And I didn't think I was going to wind up using it very much but being visually impaired I wound up using it a lot more than I expected.I came to find out that I could listen to my audible books and also my kindle books read to me which is great for my visual impairment it makes it a lot more enjoyable during the day when I become bored with trying to figure out what is actually on the television with my provision some things are just not watchable like they used to be.But the echo. 2nd Gen. Speakers are well they leave a lot to be desired and I had to add additional speakers so when I saw this item I was like I'm gonna go see what the reviews are like and everyone said they were awesome they're awesome and so much better than the. 2nd Gen. So I decided to go ahead and get one for my birthday as a gift to myself and additionally I got the battery and the silicone carry case combination to go with it and I can take the thing all over my house in my yard and that is so cool.Since I've gotten this particular one though I have found there are so many other things that I can do with it other than just listen to my audio books and kindle books I can listen to podcasts I can get the daily news I can check the temperature in the room that the echo is in it is in which is really cool because I don't have an interior thermostat in my house I run on a space here and a wood stove so I never know what the interior temperature of my house is but I do now.There are also cool games you can play play I've been playing prices right and Trivia and a choose your own adventure kind of game andAre you smarter than a 5th grader by the way I'm smarter than a 5th grader.I opted in for Amazon music and not only am I finding all the songs that I've forgotten from my past but I found some really cool new ones things things that I would have never found without this echo.I've created playlists that when I'm in the mood for one thing or another I just tell she who cannot be named what playlist I want to hear and all of a sudden there I am.She can also actuate my televisionI have a roku TV but I have also added a fireStick as well and she can actuate both of them and also my easy buzz camera that I have to keep an eye on my front porch and yard and be able to speak to people out there when I have guests without going to the door.Being visually impaired this thing is a real helping hand the only thing would be better is if she could clean my house maybe Amazon will get there eventually.But for now I'm very fond of this deviceOther cool additional thingsI like how much bass the speaker has I like to listen to binaural beats music and meditation music and some dance music for exercise and I can feel the music it's pretty cool.The speaker is pretty darn decent.I chose the white version because because white is a color that I can see better with my vision the only concern I have is that the speaker cover might eventually get dirty but they get dirty I try to dust it on a daily basis just to make sure.We also are using it for well-to-do list for one, alarms, oh and I've set a household network up where the smaller echo. that I was gifted is now in my kitchen and I can play them as a group oop or someone in my kitchen can drop in on me and ask me if I want dinner or if I'm busy and vice versa I can drop in on them as well well additionally I've set it up so I can tell it to make phone calls directly from my cell phone and works as a great speaker phone I've tested it out a few times and everybody says that they can hear me just fine and clear.By the way for a little fun ask her to Beam me up Scottie. Just be careful of the tribbles.
","Positive"
"
I have had homepod mini, the original homepod, and most of the Echo first party devices, including echo studio. The echo 4th gen is definitely the best of all of these. I have even owned the bose portable, some really expensive Sony speakers. For the size and sound quality and reliable and fast voice recognition, these can't be beat.Issues with the homepods:The homepod had great sound quality, but it was big and you still dont get the stereo separation effect you can get with two speakers one on each side of the room, and after a firmware update the speaker developed a weird and terrible sounding issue and I had to throw it away. Apple discontinued it so I couldn't buy a replacement. The homepod minis used to be good, in fact better sound quality than probably the echo dot 5th gen (I didn't test it personally, just heard the sound in a review). However they started becoming unreliable as well, one would cut out midsong or there would be a weird echoing effect and the voice recognition was always slower than an echo device. And sometimes siri wouldn't recognize at all, or she would say 'something went wrong, this is taking longer than I expected'.... a lot.So switching over to two Echo 4th gens, in a stereo pair, was really great because the voice recognition is faster and she usually understands what I say and play it. I could say the same request to both and Siri wouldn't get it while Alexa would.However there was a major issue, at first they wouldn't pair in a sound pair. I had to web search and find out that what you have to do is plug in one speaker only, say 'alexa check for updates' and then wait until that speaker updates, then unplug it, do that for the second speaker, unplug it when done, then update the alexa app on your phone, then plug everything back in and try to pair them again in the app. That worked for me. Amazon really dropped the ball on this, and I had to remove a star, you shouldn't get a product that has a basic feature like the speakers working in a stereo pair that requires a bunch of googling to solve. I can imagine the frustration if you buy two and then they don't work in a stereo pair and your googling skills aren't good enough. Another knock on Alexa compared to Siri in general, is that lately Alexa has been spamming me asking me if I want stuff. Siri never does that. Alexa will say things like 'by the way (advertisement, would you like to try it/buy it?) However as far as I know there is no reliable Apple smart speaker that exists so this is your best option. Note that I didnt try the google products because I gave up on google made products, they all seem to break (chromebook, pixel 6, google wifi, etc. and then google always makes some excuse why they wont fix it- so not only do their products break but they also won't fix them- I gave up on them)
","Positive"
"
The new Echo 4th Gen is a big change in aesthetics and design for the Echo line.  The new spherical shape is wider and shorter than previous Echo versions, and now focus sound in one primary direction instead of 360 degrees.  It adds an extra tweeter, and seems to produce more sound than previous versions.  Here are my early thoughts so far, after using it for about 24 hours:THE GOOD:Setup was incredibly simple.  I just powered the device on, and the Echo announced that it was ready for setup.  I opened the Alexa app on my phone, and the new Echo was automatically detected and set up instantly.  I didn't have to enter any information at all.  It can't get any easier than this.BETTER SOUND.  This new Echo has an extra tweeter, for a total of two 0.8 inch tweeters, and the same 3.0 inch Sub from the Gen 3 Echo.  This new Echo is designed with the tweeters pointed forward, and the speaker placement seems to generate more bass also somehow, even with the same Sub as the Gen 3.  All in all I think it sounds much better than Gen 3, with a little more bass and louder max volume.  This could also be do to the sound-mapping feature that allows Echo to maximize the sound by detecting the acoustics and shape of the room.  You can also pair two of these in stereo; and you are supposed to be able to use it as a speaker for your FireTV device, though I haven't tested that out yet.Temperature sensor included.  Yes, you can ask Alexa what the temperature is, and it seems very accurate so far.  This is a nice touch, and I look forward to doing more testing, to see if I can set up routines based on temperature.AZ1 Processor. This new Amazon processor promises better voice recognition and faster Alexa responses.  In my testing so far, I have barely noticed a slight speed improvement (for example turning on certain room lights) but there are supposed to be upcoming updates that will make an even bigger difference in speed.Zigbee + Sidewalk Bridge.  This comes with a Zigbee hub, just like previous versions of the Echo Plus.  It also contains the new Sidewalk Bridge, which allows the Echo to use bluetooth and radio connections to connect to some smart devices at long range, and push data to the internet.THE BAD:No 360 degree speakers.  While I personally prefer the sound of this new version, some people might miss the 360 degree speaker setup of previous Echo generations.  It certainly might lead to a situation where the ideal placement of the Echo in your room could be different.White power cord.  This is minor, but a strange choice.  No matter what color Echo you get, the power cord is white.  Some people might find that annoying.Voice detection is not great while loud music is playing.  This surprised me, as previous generations haven;t really struggled with this in my experience.  I'm not sure if it is because this speaker is much louder, but Alexa hasn't heard me a few times when I talked while the music was playing at max volume.  This could be annoying if you often listen to very loud music.NEUTRAL: -Aesthetics.  I think I preferred the look of the cylinder design, instead of this new sphere shape.  This is totally personal preference of course.  I also wish the entire sphere was fabric, instead of being plastic on the back side.  Some people might prefer the ball shape though, so that is up to you.All in all, I'm keeping this new Echo because of the better sound and faster responsiveness, but it is not really a massive upgrade.  Pretty decent so far, I'll update this review and try to answer any questions in the future!
","Positive"
"
Bought 3 Echo Dots about 18 months ago.  Discovered a few months ago that I could use the Alexa app to group them so that I could stream synced music throughout the house. Found that I listened to music as I worked around the house, but that the music sound quality wasn't as good as I wanted.Bought 3 Echo 4th Gen w/Premium Sound, two of them on Black Friday for ~$50 each.  Very pleased with them. If you use an Echo to interact with Alexa or to stream spoken word (e.g., podcasts, news, audio books), I'd say an Echo Dot is sufficient. If, however, you stream music, consider spending a bit more to get the Echo 4th Gen w/ Premium Sound. The Dot has 1 speaker; the Echo 4th Gen has 3 speakers (woofer + 2 tweeters). The sound is noticeably richer.  The bass is cleaner  -- no rattling, thumping I sometimes get with the Echo Dot.I kept the Dots in the speaker group, but used the app to reduce the bass so there is no rattling/thumping when playing songs with hefty bass.  It's an inexpensive way to have good sounding music all over the house.
","Positive"
"
I purchased both an Echo Dot and an Echo and am very happy with both of them. I had wanted them for a long time, but had held off as it wasn’t a priority. Now that I have them I am quite pleased with my purchases.  I love that it can be requested to play music in different languages. My wife is Brazillion and speaks Portuguese as her primary language and English as her second language and she enjoys music from her country.  Alexa makes it so easy to play whatever she wants to listen to and I love the Alexa start my day messages with the weather. I also think it’s hilarious when you ask Alexa to tell you a joke, and she does.  I’m sure I’ll find many more uses over time for the devices but we are off to a great start so far.
","Positive"
"
I have 8 Echos in various rooms and from several generations. Yep, I have a big house... What attracted me to this generation was that onboard voice capabilities that makes response faster and sure, who doesn’t want even better sound quality? I also liked the design better than the looks of the previous generations and that I could see the activity ‘light ring’ when I was sitting down. The spherical designed has some real advantages and it’s apparent in the improved sound. And improved it is. Music is easily better, more complex and effortless. This is NOT supposed to be a blast the neighborhood out speaker, but it did fill a larger room with quality sounding music that is noticeably improved to past generations. Voice commands and responses are practically instant and tigger happy quickly improved... Me likes so much that I replaced 2 of my 8 for in the areas where I am most using them. I even returned my first gen to amazon to get 25$ off then new one. Understand, my old ones are in pristine condition with all the original packaging and boxes, but how great to be able to do this!My whole house is voice controlled, lighting, fireplaces (ceramic logs with LED ‘fake fire lights’), thermostat and as an early adopter of the Echo Voice Assistant, I’ve never looked back. Being able to ask any question, to ask about a stores hours before even driving there to make sure it’s open and then being given the option to phone DIRECTLY from the device, is sweet. And how about NEVER having to touch your alarm clock to hit snooze or turn it off again? Yes please. Get quick and accurate local weather reports instantly, air quality too! Need to be reminded, multiple timers or announcements and intercom functions. Just say the word. I have every news channel I want set in my flash briefing and LOVE these, hearing them most days. Here’s my line up:  Daily scripture, this day in history, Fox news, BBC news, Management tip of the day and a few more. You can easily add what YOU want to hear and it’s a treat. I LOVE podcasts and there’s a series called “Hardcore History” with hundred of episodes. Some of which are 6 hours long! What’s cool is I can start one of these while I’m cooking in the kitchen, tell the device to stop when I’m finished and when I later (day, month, weeks or whatever) tell it to “Play Hardcore History” it will name the episode I left off on and pick it up for exactly the same spot! How sweet that??And guys, knock yourselves out because there are thousands of podcasts on virtually any subjects to enjoy and learn from. I love having this ability!!! LOVE, Love, love the ability to always be learning new things from this device while still doing what I do do in the background. There’s so much more and I could literally go on for hours with what a great enhancement this has been in so many ways, learning, security, information, entertainment, news, communications, etc. Being able to have my arms full, walk though my house and just TEll a light to turn on along the way without having to touch or find a switch is sublime!  Yep, you need the right lights, but boy, talk about convenience and living in the future now. NEVER going back!  Even my landscaping lights and sprinkler control system, my security cameras works with it. And if I want to make an announcement to the whole house, I just say, “Echo, repeat EVERYWHERE” and then tell it what I want to say. And all 8, in every room will go off: “Dinner is in 5 minutes!” So sweet!I also have 2 of the Echo Clocks that work with the device and they are awesome. The LED ring and countdown before the alarm going off is sweet.But guys, I even LOVE just telling the Echo to play rain/storm sound effects and it’s calming, deep and healing. What a wonderful, effortless device with so many capabilities. Even during one of my personal bible studies, I can ask Echo for some background on virtually anyone I reading about and background is forthcoming.Yes, I was an early adopter and man, these are a purchase I’ve never regretted making. I use them EVERY day and they have enhanced my life in ways that are special, rich and convenient. Like something out of a Dick Tracy comic from the 1930’s, this system is here, ripe, mature and developed. I’m such a fan!The only suggestion I have for Amazon would be to give me the option in a metal package. Who wants to dust fabric? Lastly, IF you built in even great Biblical knowledge capability, you’d sell even millions more. Give me a teaching assistant that has a data base to field just about anything biblical I could ask of it.LOVING this product and the direction it’s going. The future IS now and ECHO is the best, most supported, device with thousands and thousands of functions. Thank you Amazon and keep enhancing this baby because I’m upgrading all along the way. I returned on for a discount and the other 1st gen is going to a charity raffle. And heck, it’s in perfect condition with all the original packaging and boxes.Hot Dog!-G
","Positive"
"
Love the echo. Speakers are great. I love that it works as a smart home hub, we just make sure all smart home products we buy work with Alexa.Wish that we were able to play music that is not on Amazon music (CDs, Apple Music, library audiobooks etc) but we’ve only found apps you can buy to help with that problem. We can use it as a Bluetooth speaker to play those other options, but it just doesn’t work as well as casting from the phone/app.We used to have a lot of problems with Alexa understanding what we were saying and the commands we were giving. After 6-9 months we reset all of our echo products and things have definitely been better. Not perfect but better. My only other complaint is that I can’t figure out the drop in feature. My guess is user error and I’m sure I’ll figure it out eventually. Overall, it’s great and makes our lives easier.
","Positive"
"
I was looking for a soundbar system for my livingroom. While I was doing some research, I saw a huge sale on the Echo for $59. For the price of a budget soundbar system, I was able to buy two echos and an Echo Sub.The software is wonky and frustrating to use sometimes. It took a half hour for the it to recognize the Echos as a stereo pair. Once they did, I was able to set them up in seconds. After that, I set it up with the Fire Stick as a home theater. The Echo sub hadn't even arrived yet. The sound is actually pretty amazing. The speakers sound crystal clear and provide competent bass. Music listening is where these speakers REALLY shine. There is a huge difference when you listen to music in true stereo.Going back to the software, That's why it's 4 stars instead of 5. I woke up the next morning, and the home theater no longer had sound. I deleted the group and set it up again, no luck. I noodled with the software for 2 hours, and it just refused to work. This seems to be a known issue. After getting the boxes together to return the devices, 6 hours later, the software magically fixes itself. Just to be certain, I spent some time trying to break it again to see where the instability is, but it's rock solid now. I'm thinking they pushed it into production without properly testing the software. Once it broke, they must have pushed a big update to fix it. It just took time for the updates to happen on all the devices. You hear that Amazon? You need to do a better job of testing your software!That being the case, it's the smartest home cinema you can buy. Most soundbar systems will make you use a separate remote to switch channels to Bluetooth, if you want Alexa to work...unless you want to pay for Alexa integration. The dual Echo configuration is completely seamless, because...well, it's an Echo. Music is what it does best. If you want music, Alexa plays music in full stereo. If you want to watch a movie, it automatically plays the sound in Dolby Digital using the Fire Stick. My Echo Sub arrived today, and I'm REALLY looking forward to trying that out.
","Positive"
